,Date,Close,High,Low,Open,company
212,2021-08-25,76556.5390625,77483.76228027235,76221.72203750619,77180.43863730592,mrf
212,2021-08-25,60.390594482421875,61.93689838616348,59.984473312099084,61.67845643636964,tata
213,2021-08-26,136.23965454101562,144.848330730799,135.07892155240089,141.75307719960347,reliance
213,2021-08-26,76037.3984375,76937.55973914539,75825.06256471128,76937.55973914539,mrf
213,2021-08-26,59.702144622802734,60.586059396470844,59.31991640187527,60.39060080439906,tata
214,2021-08-27,76419.9453125,76808.35849953482,76028.15617165364,76688.25991279082,mrf
214,2021-08-27,60.11912536621094,60.56651084487013,59.76729859442426,60.02790782683749,tata
214,2021-08-27,137.25527954101562,143.63925220962113,132.51567375567743,135.41747683061925,reliance
215,2021-08-30,62.52545166015625,62.7643484295531,60.53827724822813,60.8531875298517,tata
215,2021-08-30,139.28651428222656,141.31778185257443,136.38471190134686,136.38471190134686,reliance
215,2021-08-30,77689.640625,77847.24722872602,77032.96713831135,77032.96713831135,mrf
216,2021-08-31,62.983699798583984,63.372443065795316,62.24312312973058,62.54717054991198,tata
216,2021-08-31,154.2791748046875,161.43694879784948,141.22106283062305,141.22106283062305,reliance
216,2021-08-31,79188.90625,79371.39402368908,77739.16296563995,77991.7308871734,mrf
217,2021-09-01,61.304908752441406,63.14222987488303,61.118139148735985,63.02495871207381,tata
217,2021-09-01,154.37591552734375,160.42133805333103,152.82828145695808,156.40716864047607,reliance
217,2021-09-01,79438.1484375,80015.35116688951,78775.35945888754,79768.74356303492,mrf
218,2021-09-02,61.89781188964844,62.18665528407361,61.274513016623004,61.89129682444295,tata
218,2021-09-02,165.35438537597656,171.73835713501052,152.34463972878183,156.45552683257435,reliance
218,2021-09-02,80713.015625,81258.83371938842,79577.03414130866,80017.00248467528,mrf
219,2021-09-03,62.6861686706543,63.109661169567275,61.537296888895014,62.114990312416495,tata
219,2021-09-03,81823.5234375,82048.5715333787,80905.23283481185,81161.13016791787,mrf
219,2021-09-03,159.35733032226562,169.27182280058565,156.89079509530507,165.45111889495305,reliance
220,2021-09-06,80920.4765625,82641.96475692936,80699.44858561197,81854.85526100377,mrf
220,2021-09-06,62.43857955932617,63.05753723876591,61.82179577744242,62.85121580304051,tata
220,2021-09-06,158.53515625,162.59769204188137,152.102832511742,162.50095937661467,reliance
221,2021-09-07,80523.9765625,81728.20663319298,80459.85671276253,81220.83562176263,mrf
221,2021-09-07,62.01725387573242,63.36158416072385,61.69582854353354,62.59060609623805,tata
221,2021-09-07,155.92352294921875,163.46821263823426,154.2791710993986,160.46967739025013,reliance
222,2021-09-08,79656.796875,81139.62463272024,79306.83071196401,81139.62463272024,mrf
222,2021-09-08,62.1041259765625,62.66444808859652,61.60896114355437,62.05634662303818,tata
222,2021-09-08,169.07838439941406,174.10817311532352,152.92501795669224,155.19808802787603,reliance
223,2021-09-09,79363.1171875,80871.22216104539,79221.51334571437,80074.72965405979,mrf
223,2021-09-09,62.86859130859375,63.059702081809014,61.763157816178285,61.88260287790485,tata
223,2021-09-09,166.27330017089844,173.14090626735918,164.4838639058578,169.17510306923407,reliance
224,2021-09-13,63.552703857421875,63.93276478724698,62.397317040096745,62.76434783968964,tata
224,2021-09-13,168.7882080078125,172.17364484464542,160.56643283264685,167.33730650631267,reliance
224,2021-09-13,79630.28125,79868.09589381941,78693.51987651901,79172.726899719,mrf
225,2021-09-14,166.85366821289062,173.62454170558763,164.43549910835597,172.75400673168832,reliance
225,2021-09-14,79871.4140625,80268.96173793131,79595.548183127,79767.75287556517,mrf
225,2021-09-14,63.079261779785156,64.13908332403024,62.938090981180835,64.07827383683801,tata
226,2021-09-15,163.17803955078125,168.2561944004487,162.59768785213282,168.2561944004487,reliance
226,2021-09-15,79708.265625,80398.36505805586,79629.68737284708,80363.59660673288,mrf
226,2021-09-15,63.18784713745117,63.574423133505874,62.74046165755877,63.18567323982733,tata
227,2021-09-16,163.37149047851562,168.88492756353503,161.9205890896857,166.46675858215184,reliance
227,2021-09-16,79415.453125,79989.5282832482,79305.23404728792,79963.25016769172,mrf
227,2021-09-16,62.39732360839844,63.91974138557493,62.19100214510871,63.61352003740996,tata
228,2021-09-17,78862.1796875,79768.74357322336,78378.85175589069,79768.69700834347,mrf
228,2021-09-17,60.171241760253906,62.85338717837077,59.07883839899694,62.85338717837077,tata
228,2021-09-17,159.59915161132812,168.30455988103694,155.82681393152046,168.30455988103694,reliance
229,2021-09-20,54.43992233276367,58.89858263470646,54.155420135185615,58.89858263470646,tata
229,2021-09-20,151.8610076904297,162.21076768307032,149.974838890727,162.21076768307032,reliance
229,2021-09-20,78350.7890625,79342.18640372263,78110.14176198779,78254.97406081902,mrf
230,2021-09-21,56.118709564208984,56.42275698187241,53.56470131423124,54.55503097618448,tata
230,2021-09-21,147.26649475097656,156.79408668621775,144.50977613761935,152.05446650529944,reliance
230,2021-09-21,77918.828125,78520.96645660436,77583.31258306747,78477.3584386982,mrf
231,2021-09-22,56.69640350341797,57.24803665561203,55.74082305562584,56.466195697332395,tata
231,2021-09-22,154.08572387695312,154.76280821100997,147.26648468828918,147.26648468828918,reliance
231,2021-09-22,79489.21875,80017.00069936436,77682.69515997428,77682.69515997428,mrf
232,2021-09-23,57.30884552001953,58.1992753065502,56.74852341108775,57.856130871028995,tata
232,2021-09-23,150.36175537109375,157.47117860305966,149.44285404244053,155.24646002467125,reliance
232,2021-09-23,79632.8515625,80472.10591255821,79470.72817270237,79589.93426496143,mrf
233,2021-09-24,149.49122619628906,154.76283221680728,147.99195830732197,149.05595868254605,reliance
233,2021-09-24,78937.8359375,80161.04118625274,78521.06467961823,79669.41687294902,mrf
233,2021-09-24,55.24565505981445,57.44349195233557,54.676647328444155,57.378341304429334,tata
234,2021-09-27,81257.5859375,81446.53071691617,78587.61755040954,79349.9933600361,mrf
234,2021-09-27,55.20656204223633,55.986232381826454,54.79609638599299,55.336869967402045,tata
234,2021-09-27,146.05740356445312,152.8282765773748,145.0901359911786,149.49120640144406,reliance
235,2021-09-28,80018.578125,81437.62729046014,79272.09654998168,81437.62729046014,mrf
235,2021-09-28,55.6257209777832,56.33372234486425,54.859084022308494,55.36293452339019,tata
235,2021-09-28,143.44577026367188,148.7657414047031,139.28651714699956,146.057389508312,reliance
236,2021-09-29,78556.578125,79901.17027193758,78346.37646558777,79879.0209074937,mrf
236,2021-09-29,56.27073669433594,56.88317932605789,55.119694358638384,55.423741776882274,tata
236,2021-09-29,150.89373779296875,156.69734309269833,139.33489352287367,139.33489352287367,reliance
237,2021-09-30,78842.625,79073.78085484187,78179.33924240673,79073.385053311,mrf
237,2021-09-30,55.96885681152344,57.178538052860475,55.78860225733896,56.531346194877585,tata
237,2021-09-30,152.00608825683594,155.43989098133994,148.2821170773206,150.8937364877422,reliance
238,2021-10-01,78667.4296875,78811.41605665076,77988.20330750349,78486.28454426989,mrf
238,2021-10-01,154.9562530517578,159.11550632082492,147.60502878858273,151.86099995361405,reliance
238,2021-10-01,56.39887237548828,56.94399047438257,54.967672256417515,55.38030852379252,tata
239,2021-10-04,153.45700073242188,157.7613534130734,151.86101507643437,155.82681818916979,reliance
239,2021-10-04,79252.0859375,79987.2445280834,78525.62721897043,78586.6194531106,mrf
239,2021-10-04,57.52167892456055,57.6693647886134,55.63006312895575,56.40104789347025,tata
240,2021-10-05,156.31045532226562,158.58352540313595,152.92501860837416,153.45700399880516,reliance
240,2021-10-05,78890.109375,79520.41170135238,78681.14943930952,79421.07327324327,mrf
240,2021-10-05,57.18939208984375,57.85612911766514,56.91575273650013,57.16116456045459,tata
241,2021-10-06,152.63482666015625,157.85806567419766,151.86100964639738,157.61624877985625,reliance
241,2021-10-06,78195.1796875,79321.72387129276,78005.53644582431,79233.70848400172,mrf
241,2021-10-06,55.58445358276367,57.71713990021575,55.30863701302414,57.465213006813784,tata
242,2021-10-07,151.18392944335938,157.56788677358117,150.41011240836306,152.97336565499774,reliance
242,2021-10-07,80655.5859375,80861.46478980574,78373.43345001967,78576.68138665399,mrf
242,2021-10-07,56.00795364379883,56.746356411362704,55.769056876362576,56.16431520677167,tata
243,2021-10-08,85225.8515625,85673.66600700794,80870.90226649906,80870.90226649906,mrf
243,2021-10-08,56.50746154785156,58.37735820650795,56.335889323493326,56.63993675241263,tata
243,2021-10-08,153.74717712402344,156.69734616102014,149.9264731787538,154.23081090847103,reliance
244,2021-10-11,57.05691909790039,57.62809744415677,56.38801477443874,56.80281830169334,tata
